time_s,Ecell_V,I_mA,EnergyCharge_W_h,QCharge_mA_h,EnergyDischarge_W_h,QDischarge_mA_h,Temperature__C,cycleNumber,Ns,Clase
450.0000214,3.6052945,1501.8456,0.670383233,187.7345012,0,0,31.861671,0,0,VAH10
460.0000218,3.6069887,1503.0278,0.685431305,191.9064222,0,0,31.893198,0,0,VAH10
470.0000223,3.608722,1502.0426,0.700486529,196.0783214,0,0,31.90896,0,0,VAH10
480.0000228,3.6104555,1502.2396,0.715549165,200.2502703,0,0,31.743439,0,0,VAH10
490.0000233,3.6122284,1502.6337,0.730619309,204.4222501,0,0,31.806496,0,0,VAH10
500.0000237,3.6140406,1501.6484,0.745696635,208.5941251,0,0,31.877434,0,0,VAH10
510.0000242,3.6157742,1501.0575,0.760781134,212.765984,0,0,31.727676,0,0,VAH10
520.0000247,3.617626,1502.0426,0.775873397,216.9378534,0,0,31.877434,0,0,VAH10
530.0000252,3.6193988,1502.2396,0.79097308,221.1097293,0,0,31.9799,0,0,VAH10
540.0000256,3.621408,1502.4366,0.806081414,225.2816795,0,0,31.814377,0,0,VAH10
550.0000261,3.6232991,1502.0426,0.82119735,229.4535504,0,0,31.877434,0,0,VAH10
560.0000266,3.6252296,1502.0426,0.836321204,233.6253839,0,0,31.767088,0,0,VAH10
570.0000271,3.6270812,1502.8308,0.851452914,237.7972536,0,0,31.877434,0,0,VAH10
580.0000275,3.629051,1501.8456,0.866592952,241.9691536,0,0,31.814377,0,0,VAH10
590.000028,3.6310604,1501.2543,0.88174112,246.1409841,0,0,31.774967,0,0,VAH10
600.0000285,3.6330695,1502.0426,0.896897454,250.3127549,0,0,31.940493,0,0,VAH10
610.000029,3.6350393,1501.4515,0.91206221,254.4845821,0,0,31.759205,0,0,VAH10
620.0000294,3.6369305,1501.2545,0.927234864,258.6564117,0,0,31.972019,0,0,VAH10
630.0000299,3.6389399,1500.6633,0.942416622,262.8284394,0,0,31.877434,0,0,VAH10
640.0000304,3.6409097,1501.6486,0.957606246,267.0003705,0,0,31.798615,0,0,VAH10
650.0000309,3.6428008,1501.8456,0.972804012,271.1723707,0,0,31.743439,0,0,VAH10
660.0000313,3.6446524,1501.6484,0.98800939,275.3443402,0,0,31.987782,0,0,VAH10
670.0000318,3.6465828,1502.0427,1.003222681,279.5162709,0,0,31.830143,0,0,VAH10
680.0000323,3.6484344,1502.4366,1.018443739,283.6882132,0,0,32.027191,0,0,VAH10
690.0000328,3.6502862,1502.2396,1.033672731,287.8602128,0,0,31.9799,0,0,VAH10
700.0000332,3.6521773,1501.8456,1.048909233,292.032108,0,0,32.003548,0,0,VAH10
710.0000337,3.6541078,1501.8456,1.064154135,296.2040984,0,0,32.066601,0,0,VAH10
720.0000342,3.6559987,1500.8605,1.07940677,300.3760461,0,0,32.05872,0,0,VAH10
730.0000347,3.6578898,1502.4366,1.094666815,304.5478623,0,0,31.964138,0,0,VAH10
740.0000351,3.659781,1503.0278,1.109934976,308.7197408,0,0,31.940493,0,0,VAH10
750.0000356,3.6617901,1502.6338,1.12521133,312.8915675,0,0,31.9799,0,0,VAH10
760.0000361,3.6637599,1502.8308,1.140496186,317.0634719,0,0,31.901081,0,0,VAH10
770.0000366,3.6658087,1502.0427,1.155789475,321.2353449,0,0,31.806496,0,0,VAH10
